,Date,Count_Pos_Reviews,Count_Neg_Reviews
244,2020-06-25,6,2
245,2020-06-26,8,0
246,2020-06-27,7,0
247,2020-06-28,7,1
248,2020-06-29,7,2
249,2020-06-30,3,2
250,2020-07-01,11,1
251,2020-07-02,8,0
252,2020-07-03,10,0
253,2020-07-04,4,1
254,2020-07-05,5,1
255,2020-07-06,6,2
256,2020-07-07,7,0
257,2020-07-08,11,2
258,2020-07-09,10,0
259,2020-07-10,7,1
260,2020-07-11,3,0
261,2020-07-12,10,1
262,2020-07-13,5,0
263,2020-07-14,7,0
264,2020-07-15,3,1
265,2020-07-16,7,1
266,2020-07-17,8,0
267,2020-07-18,8,0
268,2020-07-19,4,0
269,2020-07-20,6,1
270,2020-07-21,7,1
271,2020-07-22,8,2
272,2020-07-23,1,0
273,2020-07-24,9,0
274,2020-07-25,5,1
275,2020-07-26,4,0
276,2020-07-27,7,1
277,2020-07-28,11,1
278,2020-07-29,6,1
279,2020-07-30,8,0
280,2020-07-31,3,0
281,2020-08-01,4,1
282,2020-08-02,15,1
283,2020-08-03,8,2
284,2020-08-04,7,0
285,2020-08-05,5,0
286,2020-08-06,7,0
287,2020-08-07,5,1
288,2020-08-08,1,0
289,2020-08-09,7,1
290,2020-08-10,6,1
291,2020-08-11,5,2
292,2020-08-12,7,0
293,2020-08-13,2,0
294,2020-08-14,8,2
295,2020-08-15,6,1
296,2020-08-16,5,4
297,2020-08-17,8,0
298,2020-08-18,3,1
299,2020-08-19,3,0
300,2020-08-20,2,0
301,2020-08-21,3,0
302,2020-08-22,4,1
303,2020-08-23,3,4
304,2020-08-24,11,1
305,2020-08-25,3,0
306,2020-08-26,5,0
307,2020-08-27,7,1
308,2020-08-28,7,1
309,2020-08-29,3,1
310,2020-08-30,5,1
311,2020-08-31,4,5
312,2020-09-01,4,1
313,2020-09-02,5,2
314,2020-09-03,4,0
315,2020-09-04,6,1
316,2020-09-05,3,1
317,2020-09-06,3,1
318,2020-09-07,3,2
319,2020-09-08,8,0
320,2020-09-09,4,1
321,2020-09-10,9,1
322,2020-09-11,6,2
323,2020-09-12,3,1
324,2020-09-13,3,1
325,2020-09-14,4,0
326,2020-09-15,4,0
327,2020-09-16,8,3
328,2020-09-17,2,0
329,2020-09-18,6,0
330,2020-09-19,4,0
331,2020-09-20,6,2
332,2020-09-21,6,1
333,2020-09-22,3,1
334,2020-09-23,2,2
335,2020-09-24,4,0
336,2020-09-25,5,0
337,2020-09-26,4,0
338,2020-09-27,5,0
339,2020-09-28,2,0
340,2020-09-29,5,0
341,2020-09-30,6,1
